"","Pandemic","Diagnosis","Type","Diffdays","Counts"
"2446","Non-pandemic","Other Respiratory","Service to Admission",-689,NA
"2447","Non-pandemic","Other Respiratory","Service to Admission",-688,NA
"2448","Non-pandemic","Other Respiratory","Service to Admission",-687,NA
"2449","Non-pandemic","Other Respiratory","Service to Admission",-686,NA
"2450","Non-pandemic","Other Respiratory","Service to Admission",-685,NA
"2451","Non-pandemic","Other Respiratory","Service to Admission",-684,NA
"2452","Non-pandemic","Other Respiratory","Service to Admission",-683,NA
"2453","Non-pandemic","Other Respiratory","Service to Admission",-682,NA
"2454","Non-pandemic","Other Respiratory","Service to Admission",-681,NA
"2455","Non-pandemic","Other Respiratory","Service to Admission",-680,NA
"2456","Non-pandemic","Other Respiratory","Service to Admission",-679,NA
"2457","Non-pandemic","Other Respiratory","Service to Admission",-678,NA
"2458","Non-pandemic","Other Respiratory","Service to Admission",-677,NA
"2459","Non-pandemic","Other Respiratory","Service to Admission",-676,NA
"2460","Non-pandemic","Other Respiratory","Service to Admission",-675,NA
"2461","Non-pandemic","Other Respiratory","Service to Admission",-674,NA
"2462","Non-pandemic","Other Respiratory","Service to Admission",-673,NA
"2463","Non-pandemic","Other Respiratory","Service to Admission",-672,NA
"2464","Non-pandemic","Other Respiratory","Service to Admission",-671,NA
"2465","Non-pandemic","Other Respiratory","Service to Admission",-670,NA
"2466","Non-pandemic","Other Respiratory","Service to Admission",-669,NA
"2467","Non-pandemic","Other Respiratory","Service to Admission",-668,NA
"2468","Non-pandemic","Other Respiratory","Service to Admission",-667,NA
"2469","Non-pandemic","Other Respiratory","Service to Admission",-666,NA
"2470","Non-pandemic","Other Respiratory","Service to Admission",-665,NA
"2471","Non-pandemic","Other Respiratory","Service to Admission",-664,NA
"2472","Non-pandemic","Other Respiratory","Service to Admission",-663,NA
"2473","Non-pandemic","Other Respiratory","Service to Admission",-662,NA
"2474","Non-pandemic","Other Respiratory","Service to Admission",-661,NA
"2475","Non-pandemic","Other Respiratory","Service to Admission",-660,NA
"2476","Non-pandemic","Other Respiratory","Service to Admission",-659,NA
"2477","Non-pandemic","Other Respiratory","Service to Admission",-658,NA
"2478","Non-pandemic","Other Respiratory","Service to Admission",-657,NA
"2479","Non-pandemic","Other Respiratory","Service to Admission",-656,NA
"2480","Non-pandemic","Other Respiratory","Service to Admission",-655,NA
"2481","Non-pandemic","Other Respiratory","Service to Admission",-654,NA
"2482","Non-pandemic","Other Respiratory","Service to Admission",-653,NA
"2483","Non-pandemic","Other Respiratory","Service to Admission",-652,NA
"2484","Non-pandemic","Other Respiratory","Service to Admission",-651,NA
"2485","Non-pandemic","Other Respiratory","Service to Admission",-650,NA
"2486","Non-pandemic","Other Respiratory","Service to Admission",-649,NA
"2487","Non-pandemic","Other Respiratory","Service to Admission",-648,NA
"2488","Non-pandemic","Other Respiratory","Service to Admission",-647,NA
"2489","Non-pandemic","Other Respiratory","Service to Admission",-646,NA
"2490","Non-pandemic","Other Respiratory","Service to Admission",-645,NA
"2491","Non-pandemic","Other Respiratory","Service to Admission",-644,NA
"2492","Non-pandemic","Other Respiratory","Service to Admission",-643,NA
"2493","Non-pandemic","Other Respiratory","Service to Admission",-642,NA
"2494","Non-pandemic","Other Respiratory","Service to Admission",-641,NA
"2495","Non-pandemic","Other Respiratory","Service to Admission",-640,NA
"2496","Non-pandemic","Other Respiratory","Service to Admission",-639,NA
"2497","Non-pandemic","Other Respiratory","Service to Admission",-638,NA
"2498","Non-pandemic","Other Respiratory","Service to Admission",-637,NA
"2499","Non-pandemic","Other Respiratory","Service to Admission",-636,NA
"2500","Non-pandemic","Other Respiratory","Service to Admission",-635,NA
"2501","Non-pandemic","Other Respiratory","Service to Admission",-634,NA
"2502","Non-pandemic","Other Respiratory","Service to Admission",-633,NA
"2503","Non-pandemic","Other Respiratory","Service to Admission",-632,NA
"2504","Non-pandemic","Other Respiratory","Service to Admission",-631,NA
"2505","Non-pandemic","Other Respiratory","Service to Admission",-630,NA
"2506","Non-pandemic","Other Respiratory","Service to Admission",-629,NA
"2507","Non-pandemic","Other Respiratory","Service to Admission",-628,NA
"2508","Non-pandemic","Other Respiratory","Service to Admission",-627,NA
"2509","Non-pandemic","Other Respiratory","Service to Admission",-626,NA
"2510","Non-pandemic","Other Respiratory","Service to Admission",-625,NA
"2511","Non-pandemic","Other Respiratory","Service to Admission",-624,NA
"2512","Non-pandemic","Other Respiratory","Service to Admission",-623,NA
"2513","Non-pandemic","Other Respiratory","Service to Admission",-622,NA
"2514","Non-pandemic","Other Respiratory","Service to Admission",-621,NA
"2515","Non-pandemic","Other Respiratory","Service to Admission",-620,NA
"2516","Non-pandemic","Other Respiratory","Service to Admission",-619,NA
"2517","Non-pandemic","Other Respiratory","Service to Admission",-618,NA
"2518","Non-pandemic","Other Respiratory","Service to Admission",-617,NA
"2519","Non-pandemic","Other Respiratory","Service to Admission",-616,NA
"2520","Non-pandemic","Other Respiratory","Service to Admission",-615,NA
"2521","Non-pandemic","Other Respiratory","Service to Admission",-614,NA
"2522","Non-pandemic","Other Respiratory","Service to Admission",-613,NA
"2523","Non-pandemic","Other Respiratory","Service to Admission",-612,NA
"2524","Non-pandemic","Other Respiratory","Service to Admission",-611,NA
"2525","Non-pandemic","Other Respiratory","Service to Admission",-610,NA
"2526","Non-pandemic","Other Respiratory","Service to Admission",-609,NA
"2527","Non-pandemic","Other Respiratory","Service to Admission",-608,NA
"2528","Non-pandemic","Other Respiratory","Service to Admission",-607,NA
"2529","Non-pandemic","Other Respiratory","Service to Admission",-606,NA
"2530","Non-pandemic","Other Respiratory","Service to Admission",-605,NA
"2531","Non-pandemic","Other Respiratory","Service to Admission",-604,NA
"2532","Non-pandemic","Other Respiratory","Service to Admission",-603,NA
"2533","Non-pandemic","Other Respiratory","Service to Admission",-602,NA
"2534","Non-pandemic","Other Respiratory","Service to Admission",-601,NA
"2535","Non-pandemic","Other Respiratory","Service to Admission",-600,NA
"2536","Non-pandemic","Other Respiratory","Service to Admission",-599,NA
"2537","Non-pandemic","Other Respiratory","Service to Admission",-598,NA
"2538","Non-pandemic","Other Respiratory","Service to Admission",-597,NA
"2539","Non-pandemic","Other Respiratory","Service to Admission",-596,NA
"2540","Non-pandemic","Other Respiratory","Service to Admission",-595,NA
"2541","Non-pandemic","Other Respiratory","Service to Admission",-594,NA
"2542","Non-pandemic","Other Respiratory","Service to Admission",-593,NA
"2543","Non-pandemic","Other Respiratory","Service to Admission",-592,NA
"2544","Non-pandemic","Other Respiratory","Service to Admission",-591,NA
"2545","Non-pandemic","Other Respiratory","Service to Admission",-590,NA
"2546","Non-pandemic","Other Respiratory","Service to Admission",-589,NA
"2547","Non-pandemic","Other Respiratory","Service to Admission",-588,NA
"2548","Non-pandemic","Other Respiratory","Service to Admission",-587,NA
"2549","Non-pandemic","Other Respiratory","Service to Admission",-586,NA
"2550","Non-pandemic","Other Respiratory","Service to Admission",-585,NA
"2551","Non-pandemic","Other Respiratory","Service to Admission",-584,NA
"2552","Non-pandemic","Other Respiratory","Service to Admission",-583,NA
"2553","Non-pandemic","Other Respiratory","Service to Admission",-582,NA
"2554","Non-pandemic","Other Respiratory","Service to Admission",-581,NA
"2555","Non-pandemic","Other Respiratory","Service to Admission",-580,NA
"2556","Non-pandemic","Other Respiratory","Service to Admission",-579,NA
"2557","Non-pandemic","Other Respiratory","Service to Admission",-578,NA
"2558","Non-pandemic","Other Respiratory","Service to Admission",-577,NA
"2559","Non-pandemic","Other Respiratory","Service to Admission",-576,NA
"2560","Non-pandemic","Other Respiratory","Service to Admission",-575,NA
"2561","Non-pandemic","Other Respiratory","Service to Admission",-574,NA
"2562","Non-pandemic","Other Respiratory","Service to Admission",-573,NA
"2563","Non-pandemic","Other Respiratory","Service to Admission",-572,NA
"2564","Non-pandemic","Other Respiratory","Service to Admission",-571,NA
"2565","Non-pandemic","Other Respiratory","Service to Admission",-570,NA
"2566","Non-pandemic","Other Respiratory","Service to Admission",-569,NA
"2567","Non-pandemic","Other Respiratory","Service to Admission",-568,NA
"2568","Non-pandemic","Other Respiratory","Service to Admission",-567,NA
"2569","Non-pandemic","Other Respiratory","Service to Admission",-566,NA
"2570","Non-pandemic","Other Respiratory","Service to Admission",-565,NA
"2571","Non-pandemic","Other Respiratory","Service to Admission",-564,NA
"2572","Non-pandemic","Other Respiratory","Service to Admission",-563,NA
"2573","Non-pandemic","Other Respiratory","Service to Admission",-562,NA
"2574","Non-pandemic","Other Respiratory","Service to Admission",-561,NA
"2575","Non-pandemic","Other Respiratory","Service to Admission",-560,NA
"2576","Non-pandemic","Other Respiratory","Service to Admission",-559,NA
"2577","Non-pandemic","Other Respiratory","Service to Admission",-558,NA
"2578","Non-pandemic","Other Respiratory","Service to Admission",-557,NA
"2579","Non-pandemic","Other Respiratory","Service to Admission",-556,NA
"2580","Non-pandemic","Other Respiratory","Service to Admission",-555,NA
"2581","Non-pandemic","Other Respiratory","Service to Admission",-554,NA
"2582","Non-pandemic","Other Respiratory","Service to Admission",-553,NA
"2583","Non-pandemic","Other Respiratory","Service to Admission",-552,NA
"2584","Non-pandemic","Other Respiratory","Service to Admission",-551,NA
"2585","Non-pandemic","Other Respiratory","Service to Admission",-550,NA
"2586","Non-pandemic","Other Respiratory","Service to Admission",-549,NA
"2587","Non-pandemic","Other Respiratory","Service to Admission",-548,NA
"2588","Non-pandemic","Other Respiratory","Service to Admission",-547,NA
"2589","Non-pandemic","Other Respiratory","Service to Admission",-546,NA
"2590","Non-pandemic","Other Respiratory","Service to Admission",-545,NA
"2591","Non-pandemic","Other Respiratory","Service to Admission",-544,NA
"2592","Non-pandemic","Other Respiratory","Service to Admission",-543,NA
"2593","Non-pandemic","Other Respiratory","Service to Admission",-542,NA
"2594","Non-pandemic","Other Respiratory","Service to Admission",-541,NA
"2595","Non-pandemic","Other Respiratory","Service to Admission",-540,NA
"2596","Non-pandemic","Other Respiratory","Service to Admission",-539,NA
"2597","Non-pandemic","Other Respiratory","Service to Admission",-538,NA
"2598","Non-pandemic","Other Respiratory","Service to Admission",-537,NA
"2599","Non-pandemic","Other Respiratory","Service to Admission",-536,NA
"2600","Non-pandemic","Other Respiratory","Service to Admission",-535,NA
"2601","Non-pandemic","Other Respiratory","Service to Admission",-534,NA
"2602","Non-pandemic","Other Respiratory","Service to Admission",-533,NA
"2603","Non-pandemic","Other Respiratory","Service to Admission",-532,NA
"2604","Non-pandemic","Other Respiratory","Service to Admission",-531,NA
"2605","Non-pandemic","Other Respiratory","Service to Admission",-530,NA
"2606","Non-pandemic","Other Respiratory","Service to Admission",-529,NA
"2607","Non-pandemic","Other Respiratory","Service to Admission",-528,NA
"2608","Non-pandemic","Other Respiratory","Service to Admission",-527,NA
"2609","Non-pandemic","Other Respiratory","Service to Admission",-526,NA
"2610","Non-pandemic","Other Respiratory","Service to Admission",-525,NA
"2611","Non-pandemic","Other Respiratory","Service to Admission",-524,NA
"2612","Non-pandemic","Other Respiratory","Service to Admission",-523,NA
"2613","Non-pandemic","Other Respiratory","Service to Admission",-522,NA
"2614","Non-pandemic","Other Respiratory","Service to Admission",-521,NA
"2615","Non-pandemic","Other Respiratory","Service to Admission",-520,NA
"2616","Non-pandemic","Other Respiratory","Service to Admission",-519,NA
"2617","Non-pandemic","Other Respiratory","Service to Admission",-518,NA
"2618","Non-pandemic","Other Respiratory","Service to Admission",-517,NA
"2619","Non-pandemic","Other Respiratory","Service to Admission",-516,NA
"2620","Non-pandemic","Other Respiratory","Service to Admission",-515,NA
"2621","Non-pandemic","Other Respiratory","Service to Admission",-514,NA
"2622","Non-pandemic","Other Respiratory","Service to Admission",-513,NA
"2623","Non-pandemic","Other Respiratory","Service to Admission",-512,NA
"2624","Non-pandemic","Other Respiratory","Service to Admission",-511,NA
"2625","Non-pandemic","Other Respiratory","Service to Admission",-510,NA
"2626","Non-pandemic","Other Respiratory","Service to Admission",-509,NA
"2627","Non-pandemic","Other Respiratory","Service to Admission",-508,NA
"2628","Non-pandemic","Other Respiratory","Service to Admission",-507,NA
"2629","Non-pandemic","Other Respiratory","Service to Admission",-506,NA
"2630","Non-pandemic","Other Respiratory","Service to Admission",-505,NA
"2631","Non-pandemic","Other Respiratory","Service to Admission",-504,NA
"2632","Non-pandemic","Other Respiratory","Service to Admission",-503,NA
"2633","Non-pandemic","Other Respiratory","Service to Admission",-502,NA
"2634","Non-pandemic","Other Respiratory","Service to Admission",-501,NA
"2635","Non-pandemic","Other Respiratory","Service to Admission",-500,NA
"2636","Non-pandemic","Other Respiratory","Service to Admission",-499,NA
"2637","Non-pandemic","Other Respiratory","Service to Admission",-498,NA
"2638","Non-pandemic","Other Respiratory","Service to Admission",-497,NA
"2639","Non-pandemic","Other Respiratory","Service to Admission",-496,NA
"2640","Non-pandemic","Other Respiratory","Service to Admission",-495,NA
"2641","Non-pandemic","Other Respiratory","Service to Admission",-494,NA
"2642","Non-pandemic","Other Respiratory","Service to Admission",-493,NA
"2643","Non-pandemic","Other Respiratory","Service to Admission",-492,NA
"2644","Non-pandemic","Other Respiratory","Service to Admission",-491,NA
"2645","Non-pandemic","Other Respiratory","Service to Admission",-490,NA
"2646","Non-pandemic","Other Respiratory","Service to Admission",-489,NA
"2647","Non-pandemic","Other Respiratory","Service to Admission",-488,NA
"2648","Non-pandemic","Other Respiratory","Service to Admission",-487,NA
"2649","Non-pandemic","Other Respiratory","Service to Admission",-486,NA
"2650","Non-pandemic","Other Respiratory","Service to Admission",-485,NA
"2651","Non-pandemic","Other Respiratory","Service to Admission",-484,NA
"2652","Non-pandemic","Other Respiratory","Service to Admission",-483,NA
"2653","Non-pandemic","Other Respiratory","Service to Admission",-482,NA
"2654","Non-pandemic","Other Respiratory","Service to Admission",-481,NA
"2655","Non-pandemic","Other Respiratory","Service to Admission",-480,NA
"2656","Non-pandemic","Other Respiratory","Service to Admission",-479,NA
"2657","Non-pandemic","Other Respiratory","Service to Admission",-478,NA
"2658","Non-pandemic","Other Respiratory","Service to Admission",-477,NA
"2659","Non-pandemic","Other Respiratory","Service to Admission",-476,NA
"2660","Non-pandemic","Other Respiratory","Service to Admission",-475,NA
"2661","Non-pandemic","Other Respiratory","Service to Admission",-474,NA
"2662","Non-pandemic","Other Respiratory","Service to Admission",-473,NA
"2663","Non-pandemic","Other Respiratory","Service to Admission",-472,NA
"2664","Non-pandemic","Other Respiratory","Service to Admission",-471,NA
"2665","Non-pandemic","Other Respiratory","Service to Admission",-470,NA
"2666","Non-pandemic","Other Respiratory","Service to Admission",-469,NA
"2667","Non-pandemic","Other Respiratory","Service to Admission",-468,NA
"2668","Non-pandemic","Other Respiratory","Service to Admission",-467,NA
"2669","Non-pandemic","Other Respiratory","Service to Admission",-466,NA
"2670","Non-pandemic","Other Respiratory","Service to Admission",-465,NA
"2671","Non-pandemic","Other Respiratory","Service to Admission",-464,NA
"2672","Non-pandemic","Other Respiratory","Service to Admission",-463,NA
"2673","Non-pandemic","Other Respiratory","Service to Admission",-462,NA
"2674","Non-pandemic","Other Respiratory","Service to Admission",-461,NA
"2675","Non-pandemic","Other Respiratory","Service to Admission",-460,NA
"2676","Non-pandemic","Other Respiratory","Service to Admission",-459,NA
"2677","Non-pandemic","Other Respiratory","Service to Admission",-458,NA
"2678","Non-pandemic","Other Respiratory","Service to Admission",-457,NA
"2679","Non-pandemic","Other Respiratory","Service to Admission",-456,NA
"2680","Non-pandemic","Other Respiratory","Service to Admission",-455,NA
"2681","Non-pandemic","Other Respiratory","Service to Admission",-454,NA
"2682","Non-pandemic","Other Respiratory","Service to Admission",-453,NA
"2683","Non-pandemic","Other Respiratory","Service to Admission",-452,NA
"2684","Non-pandemic","Other Respiratory","Service to Admission",-451,NA
"2685","Non-pandemic","Other Respiratory","Service to Admission",-450,NA
"2686","Non-pandemic","Other Respiratory","Service to Admission",-449,NA
"2687","Non-pandemic","Other Respiratory","Service to Admission",-448,NA
"2688","Non-pandemic","Other Respiratory","Service to Admission",-447,NA
"2689","Non-pandemic","Other Respiratory","Service to Admission",-446,NA
"2690","Non-pandemic","Other Respiratory","Service to Admission",-445,NA
"2691","Non-pandemic","Other Respiratory","Service to Admission",-444,NA
"2692","Non-pandemic","Other Respiratory","Service to Admission",-443,NA
"2693","Non-pandemic","Other Respiratory","Service to Admission",-442,NA
"2694","Non-pandemic","Other Respiratory","Service to Admission",-441,NA
"2695","Non-pandemic","Other Respiratory","Service to Admission",-440,NA
"2696","Non-pandemic","Other Respiratory","Service to Admission",-439,NA
"2697","Non-pandemic","Other Respiratory","Service to Admission",-438,NA
"2698","Non-pandemic","Other Respiratory","Service to Admission",-437,NA
"2699","Non-pandemic","Other Respiratory","Service to Admission",-436,NA
"2700","Non-pandemic","Other Respiratory","Service to Admission",-435,NA
"2701","Non-pandemic","Other Respiratory","Service to Admission",-434,NA
"2702","Non-pandemic","Other Respiratory","Service to Admission",-433,NA
"2703","Non-pandemic","Other Respiratory","Service to Admission",-432,NA
"2704","Non-pandemic","Other Respiratory","Service to Admission",-431,NA
"2705","Non-pandemic","Other Respiratory","Service to Admission",-430,NA
"2706","Non-pandemic","Other Respiratory","Service to Admission",-429,NA
"2707","Non-pandemic","Other Respiratory","Service to Admission",-428,NA
"2708","Non-pandemic","Other Respiratory","Service to Admission",-427,NA
"2709","Non-pandemic","Other Respiratory","Service to Admission",-426,NA
"2710","Non-pandemic","Other Respiratory","Service to Admission",-425,NA
"2711","Non-pandemic","Other Respiratory","Service to Admission",-424,NA
"2712","Non-pandemic","Other Respiratory","Service to Admission",-423,NA
"2713","Non-pandemic","Other Respiratory","Service to Admission",-422,NA
"2714","Non-pandemic","Other Respiratory","Service to Admission",-421,NA
"2715","Non-pandemic","Other Respiratory","Service to Admission",-420,NA
"2716","Non-pandemic","Other Respiratory","Service to Admission",-419,NA
"2717","Non-pandemic","Other Respiratory","Service to Admission",-418,NA
"2718","Non-pandemic","Other Respiratory","Service to Admission",-417,NA
"2719","Non-pandemic","Other Respiratory","Service to Admission",-416,NA
"2720","Non-pandemic","Other Respiratory","Service to Admission",-415,NA
"2721","Non-pandemic","Other Respiratory","Service to Admission",-414,NA
"2722","Non-pandemic","Other Respiratory","Service to Admission",-413,NA
"2723","Non-pandemic","Other Respiratory","Service to Admission",-412,NA
"2724","Non-pandemic","Other Respiratory","Service to Admission",-411,NA
"2725","Non-pandemic","Other Respiratory","Service to Admission",-410,NA
"2726","Non-pandemic","Other Respiratory","Service to Admission",-409,NA
"2727","Non-pandemic","Other Respiratory","Service to Admission",-408,NA
"2728","Non-pandemic","Other Respiratory","Service to Admission",-407,NA
"2729","Non-pandemic","Other Respiratory","Service to Admission",-406,NA
"2730","Non-pandemic","Other Respiratory","Service to Admission",-405,NA
"2731","Non-pandemic","Other Respiratory","Service to Admission",-404,NA
"2732","Non-pandemic","Other Respiratory","Service to Admission",-403,NA
"2733","Non-pandemic","Other Respiratory","Service to Admission",-402,NA
"2734","Non-pandemic","Other Respiratory","Service to Admission",-401,NA
"2735","Non-pandemic","Other Respiratory","Service to Admission",-400,NA
"2736","Non-pandemic","Other Respiratory","Service to Admission",-399,NA
"2737","Non-pandemic","Other Respiratory","Service to Admission",-398,NA
"2738","Non-pandemic","Other Respiratory","Service to Admission",-397,NA
"2739","Non-pandemic","Other Respiratory","Service to Admission",-396,NA
"2740","Non-pandemic","Other Respiratory","Service to Admission",-395,NA
"2741","Non-pandemic","Other Respiratory","Service to Admission",-394,NA
"2742","Non-pandemic","Other Respiratory","Service to Admission",-393,NA
"2743","Non-pandemic","Other Respiratory","Service to Admission",-392,NA
"2744","Non-pandemic","Other Respiratory","Service to Admission",-391,NA
"2745","Non-pandemic","Other Respiratory","Service to Admission",-390,NA
"2746","Non-pandemic","Other Respiratory","Service to Admission",-389,NA
"2747","Non-pandemic","Other Respiratory","Service to Admission",-388,NA
"2748","Non-pandemic","Other Respiratory","Service to Admission",-387,NA
"2749","Non-pandemic","Other Respiratory","Service to Admission",-386,NA
"2750","Non-pandemic","Other Respiratory","Service to Admission",-385,NA
"2751","Non-pandemic","Other Respiratory","Service to Admission",-384,NA
"2752","Non-pandemic","Other Respiratory","Service to Admission",-383,NA
"2753","Non-pandemic","Other Respiratory","Service to Admission",-382,NA
"2754","Non-pandemic","Other Respiratory","Service to Admission",-381,NA
"2755","Non-pandemic","Other Respiratory","Service to Admission",-380,NA
"2756","Non-pandemic","Other Respiratory","Service to Admission",-379,NA
"2757","Non-pandemic","Other Respiratory","Service to Admission",-378,NA
"2758","Non-pandemic","Other Respiratory","Service to Admission",-377,NA
"2759","Non-pandemic","Other Respiratory","Service to Admission",-376,NA
"2760","Non-pandemic","Other Respiratory","Service to Admission",-375,NA
"2761","Non-pandemic","Other Respiratory","Service to Admission",-374,NA
"2762","Non-pandemic","Other Respiratory","Service to Admission",-373,NA
"2763","Non-pandemic","Other Respiratory","Service to Admission",-372,NA
"2764","Non-pandemic","Other Respiratory","Service to Admission",-371,NA
"2765","Non-pandemic","Other Respiratory","Service to Admission",-370,NA
"2766","Non-pandemic","Other Respiratory","Service to Admission",-369,NA
"2767","Non-pandemic","Other Respiratory","Service to Admission",-368,NA
"2768","Non-pandemic","Other Respiratory","Service to Admission",-367,NA
"2769","Non-pandemic","Other Respiratory","Service to Admission",-366,NA
"2770","Non-pandemic","Other Respiratory","Service to Admission",-365,NA
"2771","Non-pandemic","Other Respiratory","Service to Admission",-364,NA
"2772","Non-pandemic","Other Respiratory","Service to Admission",-363,NA
"2773","Non-pandemic","Other Respiratory","Service to Admission",-362,NA
"2774","Non-pandemic","Other Respiratory","Service to Admission",-361,NA
"2775","Non-pandemic","Other Respiratory","Service to Admission",-360,NA
"2776","Non-pandemic","Other Respiratory","Service to Admission",-359,NA
"2777","Non-pandemic","Other Respiratory","Service to Admission",-358,NA
"2778","Non-pandemic","Other Respiratory","Service to Admission",-357,NA
"2779","Non-pandemic","Other Respiratory","Service to Admission",-356,NA
"2780","Non-pandemic","Other Respiratory","Service to Admission",-355,NA
"2781","Non-pandemic","Other Respiratory","Service to Admission",-354,NA
"2782","Non-pandemic","Other Respiratory","Service to Admission",-353,NA
"2783","Non-pandemic","Other Respiratory","Service to Admission",-352,NA
"2784","Non-pandemic","Other Respiratory","Service to Admission",-351,NA
"2785","Non-pandemic","Other Respiratory","Service to Admission",-350,NA
"2786","Non-pandemic","Other Respiratory","Service to Admission",-349,NA
"2787","Non-pandemic","Other Respiratory","Service to Admission",-348,NA
"2788","Non-pandemic","Other Respiratory","Service to Admission",-347,NA
"2789","Non-pandemic","Other Respiratory","Service to Admission",-346,NA
"2790","Non-pandemic","Other Respiratory","Service to Admission",-345,NA
"2791","Non-pandemic","Other Respiratory","Service to Admission",-344,NA
"2792","Non-pandemic","Other Respiratory","Service to Admission",-343,NA
"2793","Non-pandemic","Other Respiratory","Service to Admission",-342,NA
"2794","Non-pandemic","Other Respiratory","Service to Admission",-341,NA
"2795","Non-pandemic","Other Respiratory","Service to Admission",-340,NA
"2796","Non-pandemic","Other Respiratory","Service to Admission",-339,NA
"2797","Non-pandemic","Other Respiratory","Service to Admission",-338,NA
"2798","Non-pandemic","Other Respiratory","Service to Admission",-337,NA
"2799","Non-pandemic","Other Respiratory","Service to Admission",-336,NA
"2800","Non-pandemic","Other Respiratory","Service to Admission",-335,NA
"2801","Non-pandemic","Other Respiratory","Service to Admission",-334,NA
"2802","Non-pandemic","Other Respiratory","Service to Admission",-333,NA
"2803","Non-pandemic","Other Respiratory","Service to Admission",-332,NA
"2804","Non-pandemic","Other Respiratory","Service to Admission",-331,NA
"2805","Non-pandemic","Other Respiratory","Service to Admission",-330,NA
"2806","Non-pandemic","Other Respiratory","Service to Admission",-329,NA
"2807","Non-pandemic","Other Respiratory","Service to Admission",-328,NA
"2808","Non-pandemic","Other Respiratory","Service to Admission",-327,NA
"2809","Non-pandemic","Other Respiratory","Service to Admission",-326,NA
"2810","Non-pandemic","Other Respiratory","Service to Admission",-325,NA
"2811","Non-pandemic","Other Respiratory","Service to Admission",-324,NA
"2812","Non-pandemic","Other Respiratory","Service to Admission",-323,NA
"2813","Non-pandemic","Other Respiratory","Service to Admission",-322,NA
"2814","Non-pandemic","Other Respiratory","Service to Admission",-321,NA
"2815","Non-pandemic","Other Respiratory","Service to Admission",-320,NA
"2816","Non-pandemic","Other Respiratory","Service to Admission",-319,NA
"2817","Non-pandemic","Other Respiratory","Service to Admission",-318,NA
"2818","Non-pandemic","Other Respiratory","Service to Admission",-317,NA
"2819","Non-pandemic","Other Respiratory","Service to Admission",-316,NA
"2820","Non-pandemic","Other Respiratory","Service to Admission",-315,NA
"2821","Non-pandemic","Other Respiratory","Service to Admission",-314,NA
"2822","Non-pandemic","Other Respiratory","Service to Admission",-313,NA
"2823","Non-pandemic","Other Respiratory","Service to Admission",-312,NA
"2824","Non-pandemic","Other Respiratory","Service to Admission",-311,NA
"2825","Non-pandemic","Other Respiratory","Service to Admission",-310,NA
"2826","Non-pandemic","Other Respiratory","Service to Admission",-309,NA
"2827","Non-pandemic","Other Respiratory","Service to Admission",-308,NA
"2828","Non-pandemic","Other Respiratory","Service to Admission",-307,NA
"2829","Non-pandemic","Other Respiratory","Service to Admission",-306,NA
"2830","Non-pandemic","Other Respiratory","Service to Admission",-305,NA
"2831","Non-pandemic","Other Respiratory","Service to Admission",-304,NA
"2832","Non-pandemic","Other Respiratory","Service to Admission",-303,NA
"2833","Non-pandemic","Other Respiratory","Service to Admission",-302,NA
"2834","Non-pandemic","Other Respiratory","Service to Admission",-301,NA
"2835","Non-pandemic","Other Respiratory","Service to Admission",-300,NA
"2836","Non-pandemic","Other Respiratory","Service to Admission",-299,NA
"2837","Non-pandemic","Other Respiratory","Service to Admission",-298,NA
"2838","Non-pandemic","Other Respiratory","Service to Admission",-297,NA
"2839","Non-pandemic","Other Respiratory","Service to Admission",-296,NA
"2840","Non-pandemic","Other Respiratory","Service to Admission",-295,NA
"2841","Non-pandemic","Other Respiratory","Service to Admission",-294,NA
"2842","Non-pandemic","Other Respiratory","Service to Admission",-293,NA
"2843","Non-pandemic","Other Respiratory","Service to Admission",-292,NA
"2844","Non-pandemic","Other Respiratory","Service to Admission",-291,NA
"2845","Non-pandemic","Other Respiratory","Service to Admission",-290,NA
"2846","Non-pandemic","Other Respiratory","Service to Admission",-289,NA
"2847","Non-pandemic","Other Respiratory","Service to Admission",-288,NA
"2848","Non-pandemic","Other Respiratory","Service to Admission",-287,NA
"2849","Non-pandemic","Other Respiratory","Service to Admission",-286,NA
"2850","Non-pandemic","Other Respiratory","Service to Admission",-285,NA
"2851","Non-pandemic","Other Respiratory","Service to Admission",-284,NA
"2852","Non-pandemic","Other Respiratory","Service to Admission",-283,NA
"2853","Non-pandemic","Other Respiratory","Service to Admission",-282,NA
"2854","Non-pandemic","Other Respiratory","Service to Admission",-281,NA
"2855","Non-pandemic","Other Respiratory","Service to Admission",-280,NA
"2856","Non-pandemic","Other Respiratory","Service to Admission",-279,NA
"2857","Non-pandemic","Other Respiratory","Service to Admission",-278,NA
"2858","Non-pandemic","Other Respiratory","Service to Admission",-277,NA
"2859","Non-pandemic","Other Respiratory","Service to Admission",-276,NA
"2860","Non-pandemic","Other Respiratory","Service to Admission",-275,NA
"2861","Non-pandemic","Other Respiratory","Service to Admission",-274,NA
"2862","Non-pandemic","Other Respiratory","Service to Admission",-273,NA
"2863","Non-pandemic","Other Respiratory","Service to Admission",-272,NA
"2864","Non-pandemic","Other Respiratory","Service to Admission",-271,NA
"2865","Non-pandemic","Other Respiratory","Service to Admission",-270,NA
"2866","Non-pandemic","Other Respiratory","Service to Admission",-269,NA
"2867","Non-pandemic","Other Respiratory","Service to Admission",-268,NA
"2868","Non-pandemic","Other Respiratory","Service to Admission",-267,NA
